,KO,difference.deter.stocha,cat
624,K01000,-13.55936746,Others
625,K02902,-13.55330164,Others
626,K02838,-13.54004147,Others
627,K00568,-13.52127974,Cofactor & Vitamin
628,K00796,-13.50519827,Cofactor & Vitamin
629,K01893,-13.49828606,Others
630,K09919,-13.46725162,Others
631,K07126,-13.46245538,Others
632,K00661,-13.44750243,Others
633,K05540,-13.44580964,Others
634,K03527,-13.43734571,Others
635,K01571,-13.42634259,Others
636,K18901,-13.40927365,Others
637,K03635,-13.40490062,Cofactor & Vitamin
638,K02474,-13.38289439,Others
639,K03192,-13.38289439,Others
640,K01755,-13.37894455,Others
641,K02519,-13.3717502,Others
642,K03169,-13.37118594,Others
643,K01258,-13.36596652,Others
644,K07560,-13.36243987,Others
645,K06179,-13.35834897,Others
646,K01066,-13.35552765,Others
647,K01710,-13.3459352,Others
648,K17290,-13.33958724,Others
649,K01633,-13.33464994,Cofactor & Vitamin
650,K06287,-13.33126437,Others
651,K25152,-13.31292584,Others
652,K13482,-13.29430518,Others
653,K00059,-13.28076288,Others
654,K03270,-13.27907009,Others
655,K02459,-13.27723624,Others
656,K11206,-13.27018297,Others
657,K03217,-13.25438362,Others
658,K04078,-13.2515623,Others
659,K19563,-13.23731467,Cofactor & Vitamin
660,K00241,-13.2339291,Carbon
661,K01433,-13.22546516,Others
662,K01551,-13.22504197,Others
663,K18988,-13.21883508,Others
664,K00602,-13.21855294,Others
665,K03749,-13.21686017,Others
666,K00381,-13.21319246,Sulfur
667,K11085,-13.21248713,Others
668,K01968,-13.19852164,Others
669,K22300,-13.18907024,Others
670,K02492,-13.1846972,Cofactor & Vitamin
671,K03526,-13.17383515,Others
672,K01693,-13.1715781,Others
673,K07017,-13.167064,Others
674,K07403,-13.16635867,Others
675,K13766,-13.15323957,Others
676,K00812,-13.13941515,Others
677,K00962,-13.12756563,Others
678,K03550,-13.12192301,Others
679,K00459,-13.11035562,Others
680,K02945,-13.08609235,Others
681,K03553,-13.08468169,Others
682,K20035,-13.08115505,Others
683,K03086,-13.06958766,Others
684,K02939,-13.06676636,Others
685,K03732,-13.06662529,Others
686,K13290,-13.05012061,Others
687,K13481,-13.05012061,Others
688,K19166,-13.0472993,Others
689,K18828,-13.03686044,Others
690,K18889,-13.02077896,Others
691,K03060,-13.01457207,Others
692,K01627,-13.01358461,Others
693,K07047,-13.01273822,Others
694,K02674,-13.00864733,Others
695,K25153,-13.00610814,Others
696,K07267,-13.0030047,Others
697,K06959,-12.9935533,Others
698,K03075,-12.98523043,Others
699,K03969,-12.9845251,Others
700,K02956,-12.95504239,Others
701,K13018,-12.9402305,Others
702,K14261,-12.91244058,Others
703,K02611,-12.91201738,Others
704,K03625,-12.89847509,Others
705,K00185,-12.87181368,Others
706,K03116,-12.8688513,Others
707,K02335,-12.85559114,Others
708,K09933,-12.84980744,Others
709,K00500,-12.8389454,Others
710,K22348,-12.83372597,Others
711,K02314,-12.82681375,Others
712,K01056,-12.82399243,Others
713,K16053,-12.80593604,Others
714,K00757,-12.80269154,Others
715,K00627,-12.80001129,Carbon
716,K02518,-12.79761317,Others
717,K01173,-12.79747211,Others
718,K02967,-12.78534047,Others
719,K25151,-12.77744079,Others
720,K25034,-12.77419628,Others
721,K03655,-12.77405521,Others
722,K02574,-12.77334988,Others
723,K02357,-12.76883578,Others
724,K02551,-12.76587341,Cofactor & Vitamin
725,K03043,-12.75994865,Others
726,K09989,-12.75924332,Others
727,K18989,-12.75642201,Others
728,K09768,-12.74697062,Others
729,K22299,-12.73469791,Others
730,K03070,-12.73441577,Others
731,K03307,-12.71805216,Others
732,K05800,-12.70789545,Others
733,K07045,-12.69830298,Others
734,K09981,-12.69562273,Others
735,K02019,-12.67869486,Others
736,K02238,-12.67502715,Others
737,K03584,-12.67079519,Others
738,K13633,-12.66783281,Others
739,K01322,-12.65598329,Others
740,K06962,-12.65132814,Others
741,K01919,-12.64751936,Others
742,K02337,-12.62269181,Others
743,K14157,-12.61789558,Others
744,K06211,-12.59998025,Others
745,K01903,-12.59871066,Carbon
746,K11927,-12.57233139,Others
747,K00986,-12.5706386,Others
748,K03551,-12.55766057,Others
749,K10927,-12.55187688,Others
750,K12251,-12.54002737,Others
751,K13282,-12.52733146,Others
752,K00135,-12.51731581,Others
753,K05349,-12.50899293,Others
754,K00817,-12.50208072,Others
755,K02198,-12.48896161,Others
756,K02835,-12.46667325,Others
757,K13770,-12.45849144,Others
758,K15836,-12.44480808,Others
759,K18672,-12.44001185,Others
760,K00626,-12.43563881,Others
761,K03787,-12.4328175,Others
762,K02517,-12.42576423,Others
763,K19613,-12.41800561,Others
764,K02292,-12.40897742,Others
765,K01657,-12.38471413,Carbon
766,K10804,-12.38471413,Others
767,K19784,-12.37878937,Others
768,K07391,-12.37667339,Others
769,K02986,-12.36863265,Others
770,K06925,-12.36863265,Others
771,K07447,-12.36820946,Others
772,K11166,-12.35297437,Others
773,K01696,-12.29372681,Carbon
774,K01878,-12.28117197,Others
775,K16872,-12.27708107,Others
776,K01465,-12.27623468,Others
777,K18218,-12.2642441,Others
778,K00208,-12.24999647,Cofactor & Vitamin
779,K09924,-12.24689303,Others
780,K15984,-12.24407171,Others
781,K07729,-12.24209679,Others
782,K02361,-12.2384291,Others
783,K06969,-12.23645418,Others
784,K24300,-12.22460466,Others
785,K07478,-12.22347613,Others
786,K06975,-12.22333507,Others
787,K19813,-12.1978022,Others
788,K07006,-12.19258277,Others
789,K07259,-12.17466744,Others
790,K02004,-12.15153267,Others
791,K09698,-12.14123489,Others
792,K02968,-12.1395421,Others
793,K09160,-12.13418161,Others
794,K09117,-12.13262988,Others
795,K00526,-12.13178349,Others
796,K03497,-12.12868005,Others
797,K21023,-12.12656407,Others
798,K04077,-12.10935406,Others
799,K02340,-12.10653275,Others
800,K02481,-12.09736348,Others
801,K20866,-12.07563938,Others
802,K01658,-12.07041996,Carbon
803,K06373,-12.04841372,Others
804,K07491,-12.04770839,Others
805,K03977,-12.04009084,Others
806,K06879,-12.03571781,Others
807,K02480,-12.03049839,Others
808,K08999,-12.02654855,Others
809,K15580,-12.02288084,Others
810,K06894,-12.02245764,Others
811,K21089,-12.02147018,Others
812,K02871,-12.01272412,Others
813,K07326,-12.00835109,Others
814,K12262,-12.00835109,Others
815,K03774,-12.0012978,Others
816,K01972,-11.99621945,Others
817,K05785,-11.99607838,Others
818,K21001,-11.99226961,Others
819,K07283,-11.97717559,Others
820,K24083,-11.97181509,Others
821,K23779,-11.96955804,Others
822,K10926,-11.94473049,Others
823,K01695,-11.93499697,Carbon
824,K07461,-11.90396254,Others
825,K03745,-11.90085909,Others
826,K16011,-11.88661146,Others
827,K20326,-11.87306916,Others
